time_s,x_m,y_m,z_m
16.641543831006857,59.031958896298676,-51.67296214776155,20.0
16.681331070009037,59.0428739219285,-51.55345967343194,20.0
16.721666580997407,59.0542894211312,-51.43400396811257,20.0
16.76187813800061,59.066205193611204,-51.31459712776565,20.0
16.801538665007683,59.07862103029506,-51.19524124749643,20.0
16.8413109890098,59.091536713335316,-51.075938421515644,20.0
16.882647570004337,59.104952016114154,-50.956690743103124,20.0
16.921821759999148,59.11886670324751,-50.83750030457142,20.0
16.961601467002765,59.13328053058919,-50.71836919722844,20.0
17.001911033003125,59.14819324523504,-50.599299511341165,20.0
17.0412865140097,59.163604585527516,-50.48029333609882,20.0
17.08141373700346,59.179514281060186,-50.36135275957651,20.0
17.121551406002254,59.195922052682526,-50.24247986869809,20.0
17.162028161008493,59.21282761250484,-50.123676749199845,20.0
17.2022525180073,59.230230663903164,-50.00494548559405,20.0
17.241615364007885,59.248130901524675,-49.88628816113199,20.0
17.281334572995547,59.26652801129293,-49.76770685776769,20.0
17.32166355699883,59.285421670413356,-49.64920365612121,20.0
17.361429647004115,59.304811547378996,-49.530780635442554,20.0
17.401319972006604,59.324697301976286,-49.412439873574556,20.0
17.441360351003823,59.34507858529099,-49.29418344691679,20.0
17.481868146001943,59.365955039714414,-49.17601343038928,20.0
17.521749239007477,59.38732629894957,-49.05793189739575,20.0
17.561733084003208,59.40919198801767,-48.939940919787375,20.0
17.60200597300718,59.43155172326474,-48.82204256782644,20.0
17.641490277004777,59.454405112368185,-48.70423891015023,20.0
17.68121015300858,59.477751754343885,-48.58653201373436,20.0
17.721834562005824,59.50159123955315,-48.468923943856666,20.0
17.761287105007796,59.52592314970983,-48.351416764060914,20.0
17.801364936007303,59.550747057887776,-48.23401253612094,20.0
17.841669358007493,59.57606252852819,-48.116713320003974,20.0
17.88194678700529,59.60186911744743,-47.99952117383464,20.0
17.922266966008465,59.6281663718447,-47.882438153859205,20.0
17.96165204900899,59.65495383030999,-47.76546631440896,20.0
18.0015843900037,59.68223102283223,-47.64860770786454,20.0
18.041522956002154,59.70999747080752,-47.53186438461966,20.0
18.081913863003138,59.738252687047435,-47.41523839304558,20.0
18.1221130299964,59.766996175787774,-47.29873177945461,20.0
18.16164337900409,59.79622743269706,-47.18234658806446,20.0
18.20146096900862,59.82594594488549,-47.066084860962604,20.0
18.241446025000187,59.85615119091384,-46.94994863806996,20.0
18.281651288998546,59.88684264080278,-46.83393995710549,20.0
18.321653595005046,59.918019608121206,-46.71806081348636,20.0
18.36153237200051,59.949675104983285,-46.60231147296368,20.0
18.40124300599564,59.98179407518713,-46.48668987771243,20.0
18.442062172005535,60.01436140802276,-46.371193767328194,20.0
18.481643418999738,60.04736249348801,-46.25582084106163,20.0
18.521687304004445,60.08078320559671,-46.14056876616542,20.0
