category,parameter,current_value,system_default_in_log,current_setup_default_in_log,changed_from_logged_default,unit,px4_group,short_description,source_status
多旋翼位置/速度/轨迹控制,MPC_JERK_AUTO,2.0,4.0,4.0,yes,m/s^3,Multicopter Position Control,Jerk limit in autonomous modes,metadata
多旋翼位置/速度/轨迹控制,MPC_JERK_MAX,12.0,3.0,3.0,yes,m/s^3,Multicopter Position Control,Maximum horizontal and vertical jerk in Position/Altitude mode,metadata
多旋翼位置/速度/轨迹控制,MPC_LAND_ALT1,10.0,,,,m,Multicopter Position Control,Altitude for 1. step of slow landing (descend),metadata
多旋翼位置/速度/轨迹控制,MPC_LAND_ALT2,5.0,,,,m,Multicopter Position Control,Altitude for 2. step of slow landing (landing),metadata
多旋翼位置/速度/轨迹控制,MPC_LAND_ALT3,1.0,,,,m,Multicopter Position Control,Altitude for 3. step of slow landing,metadata
多旋翼位置/速度/轨迹控制,MPC_LAND_CRWL,0.30000001192092896,,,,m/s,Multicopter Position Control,Land crawl descend rate,metadata
多旋翼位置/速度/轨迹控制,MPC_LAND_RADIUS,1000.0,,,,m,Multicopter Position Control,User assisted landing radius,metadata
多旋翼位置/速度/轨迹控制,MPC_LAND_RC_HELP,0,,,,,Multicopter Position Control,Enable nudging based on user input during autonomous land routine,metadata
多旋翼位置/速度/轨迹控制,MPC_LAND_SPEED,0.699999988079071,,,,m/s,Multicopter Position Control,Landing descend rate,metadata
多旋翼位置/速度/轨迹控制,MPC_MANTHR_MIN,0.07999999821186066,,,,norm,Multicopter Position Control,Minimum collective thrust in Stabilized mode,metadata
多旋翼位置/速度/轨迹控制,MPC_MAN_TILT_MAX,60.0,35.0,35.0,yes,deg,Multicopter Position Control,Maximal tilt angle in Stabilized or Altitude mode,metadata
多旋翼位置/速度/轨迹控制,MPC_MAN_Y_MAX,150.0,,,,deg/s,Multicopter Position Control,"Max manual yaw rate for Stabilized, Altitude, Position mode",metadata
多旋翼位置/速度/轨迹控制,MPC_MAN_Y_TAU,0.07999999821186066,,,,s,Multicopter Position Control,Manual yaw rate input filter time constant,metadata
多旋翼位置/速度/轨迹控制,MPC_POS_MODE,4,,,,,Multicopter Position Control,Position/Altitude mode variant,metadata
多旋翼位置/速度/轨迹控制,MPC_THR_CURVE,0,,,,,Multicopter Position Control,Thrust curve mapping in Stabilized Mode,metadata
多旋翼位置/速度/轨迹控制,MPC_THR_HOVER,0.36000001430511475,0.5,0.5,yes,norm,Multicopter Position Control,Vertical thrust required to hover,metadata
多旋翼位置/速度/轨迹控制,MPC_THR_MAX,1.0,,,,norm,Multicopter Position Control,Maximum collective thrust in climb rate controlled modes,metadata
多旋翼位置/速度/轨迹控制,MPC_THR_MIN,0.11999999731779099,,,,norm,Multicopter Position Control,Minimum collective thrust in climb rate controlled modes,metadata
多旋翼位置/速度/轨迹控制,MPC_THR_XY_MARG,0.30000001192092896,,,,norm,Multicopter Position Control,Horizontal thrust margin,metadata
多旋翼位置/速度/轨迹控制,MPC_TILTMAX_AIR,60.0,45.0,45.0,yes,deg,Multicopter Position Control,Maximum tilt angle in air,metadata
多旋翼位置/速度/轨迹控制,MPC_TILTMAX_LND,8.0,12.0,12.0,yes,deg,Multicopter Position Control,Maximum tilt during inital takeoff ramp,metadata
多旋翼位置/速度/轨迹控制,MPC_TKO_RAMP_T,3.0,,,,s,Multicopter Position Control,Smooth takeoff ramp time constant,metadata
多旋翼位置/速度/轨迹控制,MPC_TKO_SPEED,3.0,1.5,1.5,yes,m/s,Multicopter Position Control,Takeoff climb rate,metadata
多旋翼位置/速度/轨迹控制,MPC_USE_HTE,1,,,,,Multicopter Position Control,Use hover thrust estimate for altitude control,metadata
多旋翼位置/速度/轨迹控制,MPC_VELD_LP,5.0,,,,Hz,Multicopter Position Control,Velocity derivative low pass cutoff frequency,metadata
多旋翼位置/速度/轨迹控制,MPC_VEL_LP,0.0,,,,Hz,Multicopter Position Control,Velocity low pass cutoff frequency,metadata
多旋翼位置/速度/轨迹控制,MPC_VEL_MANUAL,3.0,10.0,10.0,yes,m/s,Multicopter Position Control,Maximum horizontal velocity setpoint in Position mode,metadata
多旋翼位置/速度/轨迹控制,MPC_VEL_MAN_BACK,-1.0,,,,m/s,Multicopter Position Control,Maximum backward velocity in Position mode,metadata
多旋翼位置/速度/轨迹控制,MPC_VEL_MAN_SIDE,-1.0,,,,m/s,Multicopter Position Control,Maximum sideways velocity in Position mode,metadata
多旋翼位置/速度/轨迹控制,MPC_VEL_NF_BW,5.0,,,,Hz,Multicopter Position Control,Velocity notch filter bandwidth,metadata
多旋翼位置/速度/轨迹控制,MPC_VEL_NF_FRQ,0.0,,,,Hz,Multicopter Position Control,Velocity notch filter frequency,metadata
多旋翼位置/速度/轨迹控制,MPC_XY_CRUISE,3.0,5.0,5.0,yes,m/s,Multicopter Position Control,Default horizontal velocity in autonomous modes,metadata
多旋翼位置/速度/轨迹控制,MPC_XY_ERR_MAX,2.0,,,,,Multicopter Position Control,Maximum horizontal error allowed by the trajectory generator,metadata
多旋翼位置/速度/轨迹控制,MPC_XY_MAN_EXPO,0.6000000238418579,,,,,Multicopter Position Control,Manual position control stick exponential curve sensitivity,metadata
多旋翼位置/速度/轨迹控制,MPC_XY_P,1.100000023841858,0.949999988079071,0.949999988079071,yes,,Multicopter Position Control,Proportional gain for horizontal position error,metadata
多旋翼位置/速度/轨迹控制,MPC_XY_TRAJ_P,0.5,,,,,Multicopter Position Control,Proportional gain for horizontal trajectory position error,metadata
多旋翼位置/速度/轨迹控制,MPC_XY_VEL_ALL,-10.0,,,,,Multicopter Position Control,Overall Horizontal Velocity Limit,metadata
多旋翼位置/速度/轨迹控制,MPC_XY_VEL_D_ACC,0.20000000298023224,,,,,Multicopter Position Control,Differential gain for horizontal velocity error,metadata
多旋翼位置/速度/轨迹控制,MPC_XY_VEL_I_ACC,0.5,0.4000000059604645,0.4000000059604645,yes,,Multicopter Position Control,Integral gain for horizontal velocity error,metadata
多旋翼位置/速度/轨迹控制,MPC_XY_VEL_MAX,45.0,100.0,100.0,yes,m/s,Multicopter Position Control,Maximum horizontal velocity,metadata
多旋翼位置/速度/轨迹控制,MPC_XY_VEL_P_ACC,2.0,1.7999999523162842,1.7999999523162842,yes,,Multicopter Position Control,Proportional gain for horizontal velocity error,metadata
多旋翼位置/速度/轨迹控制,MPC_YAWRAUTO_ACC,20.0,,,,deg/s^2,Multicopter Attitude Control,Maximum yaw acceleration in autonomous modes,metadata
